row_id	idx	total	scene_id	scene_path	step2_report	status	run_state	elapsed_sec	step3_ok	frames	path_length_m	visited_unique_cells	coverage_area_m2	continuity_valid_ratio	recovery_ratio	room_check_triggers_total	escape_attempts_total	fail_reason	traj_meta_json	log_path	worker_exit_code
1	1	24	a_hospital_corridor_in_china	/Users/sota/code/3d/room/a_hospital_corridor_in_china.glb	/Users/sota/code/3d_new/output/room_full/step2/a_hospital_corridor_in_china/step2_floor_report.json	OK	DONE	6.763	True	72	19.19833837515211	20	2.4499999999999997	1.0	0.027777777777777776	0	1		/Users/sota/code/3d_new/output/room_full/step3/a_hospital_corridor_in_china/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/a_hospital_corridor_in_china.log	0
2	2	24	a_liminal_space	/Users/sota/code/3d/room/a_liminal_space.glb	/Users/sota/code/3d_new/output/room_full/step2/a_liminal_space/step2_floor_report.json	OK	DONE	14.962	True	91	22.013226983480262	48	5.879999999999999	1.0	0.03296703296703297	0	1		/Users/sota/code/3d_new/output/room_full/step3/a_liminal_space/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/a_liminal_space.log	0
3	3	24	abandoned_classroom	/Users/sota/code/3d/room/abandoned_classroom.glb	/Users/sota/code/3d_new/output/room_full/step2/abandoned_classroom/step2_floor_report.json	OK	DONE	2.256	True	43	14.178689660269665	24	2.9399999999999995	1.0	0.023255813953488372	0	1		/Users/sota/code/3d_new/output/room_full/step3/abandoned_classroom/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/abandoned_classroom.log	0
4	4	24	apartamento	/Users/sota/code/3d/room/apartamento.glb	/Users/sota/code/3d_new/output/room_full/step2/apartamento/step2_floor_report.json	FAIL	TIMEOUT	24.875	False	220	32.33273919134074	78	9.554999999999998	1.0	0.05454545454545454	0	2	target_frames_reached	/Users/sota/code/3d_new/output/room_full/step3/apartamento/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/apartamento.log	0
5	5	24	art_gallery	/Users/sota/code/3d/room/art_gallery.glb	/Users/sota/code/3d_new/output/room_full/step2/art_gallery/step2_floor_report.json	OK	DONE	7.563	True	114	25.736307248970416	61	7.472499999999998	1.0	0.008771929824561403	0	2		/Users/sota/code/3d_new/output/room_full/step3/art_gallery/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/art_gallery.log	0
6	6	24	bedroom_interior_design	/Users/sota/code/3d/room/bedroom_interior_design.glb	/Users/sota/code/3d_new/output/room_full/step2/bedroom_interior_design/step2_floor_report.json	SKIP	SKIP	0.574	False	0	0.0	0	0.0	0.0	0.0	0	0	step2_not_ok		/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/bedroom_interior_design.log	0
7	7	24	cafe_interior	/Users/sota/code/3d/room/cafe_interior.glb	/Users/sota/code/3d_new/output/room_full/step2/cafe_interior/step2_floor_report.json	OK	DONE	2.634	True	45	14.038209621481915	13	1.5924999999999998	1.0	0.044444444444444446	0	2		/Users/sota/code/3d_new/output/room_full/step3/cafe_interior/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/cafe_interior.log	0
8	8	24	caspar_herman_storms_salong_-_ladegarden	/Users/sota/code/3d/room/caspar_herman_storms_salong_-_ladegarden.glb	/Users/sota/code/3d_new/output/room_full/step2/caspar_herman_storms_salong_-_ladegarden/step2_floor_report.json	OK	DONE	10.883	True	49	12.250000984432255	23	2.8174999999999994	1.0	0.0	0	0		/Users/sota/code/3d_new/output/room_full/step3/caspar_herman_storms_salong_-_ladegarden/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/caspar_herman_storms_salong_-_ladegarden.log	0
9	9	24	conference_room1	/Users/sota/code/3d/room/conference_room1.glb	/Users/sota/code/3d_new/output/room_full/step2/conference_room1/step2_floor_report.json	FAIL	TIMEOUT	15.952	False	220	45.79670344221347	123	15.067499999999997	1.0	0.01818181818181818	0	2	target_frames_reached	/Users/sota/code/3d_new/output/room_full/step3/conference_room1/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/conference_room1.log	0
10	10	24	destroyed_abandoned_manufactory_-_small_02	/Users/sota/code/3d/room/destroyed_abandoned_manufactory_-_small_02.glb	/Users/sota/code/3d_new/output/room_full/step2/destroyed_abandoned_manufactory_-_small_02/step2_floor_report.json	OK	DONE	17.372	True	125	31.32332744431601	44	5.389999999999999	1.0	0.016	0	3		/Users/sota/code/3d_new/output/room_full/step3/destroyed_abandoned_manufactory_-_small_02/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/destroyed_abandoned_manufactory_-_small_02.log	0
11	11	24	eloiza_e_ze_newton	/Users/sota/code/3d/room/eloiza_e_ze_newton.glb	/Users/sota/code/3d_new/output/room_full/step2/eloiza_e_ze_newton/step2_floor_report.json	FAIL	TIMEOUT	3.351	False	36	5.230000129233027	16	1.9599999999999997	1.0	0.0	0	1	outside_scene_or_invalid_depth	/Users/sota/code/3d_new/output/room_full/step3/eloiza_e_ze_newton/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/eloiza_e_ze_newton.log	0
12	12	24	lincolns_inn_drawing_room	/Users/sota/code/3d/room/lincolns_inn_drawing_room.glb	/Users/sota/code/3d_new/output/room_full/step2/lincolns_inn_drawing_room/step2_floor_report.json	FAIL	TIMEOUT	30.440	False	220	51.05026119374233	98	12.004999999999999	0.9954545454545455	0.031818181818181815	0	3	target_frames_reached	/Users/sota/code/3d_new/output/room_full/step3/lincolns_inn_drawing_room/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/lincolns_inn_drawing_room.log	0
13	13	24	modern_apartment_interior	/Users/sota/code/3d/room/modern_apartment_interior.glb	/Users/sota/code/3d_new/output/room_full/step2/modern_apartment_interior/step2_floor_report.json	SKIP	SKIP	0.587	False	0	0.0	0	0.0	0.0	0.0	0	0	step2_not_ok		/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/modern_apartment_interior.log	0
14	14	24	modern_bathroom	/Users/sota/code/3d/room/modern_bathroom.glb	/Users/sota/code/3d_new/output/room_full/step2/modern_bathroom/step2_floor_report.json	OK	DONE	10.976	True	83	21.81180265923422	22	2.6949999999999994	1.0	0.03614457831325301	0	2		/Users/sota/code/3d_new/output/room_full/step3/modern_bathroom/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/modern_bathroom.log	0
15	15	24	modern_office	/Users/sota/code/3d/room/modern_office.glb	/Users/sota/code/3d_new/output/room_full/step2/modern_office/step2_floor_report.json	OK	DONE	6.319	True	57	12.27587252753171	14	1.7149999999999996	1.0	0.03508771929824561	0	1		/Users/sota/code/3d_new/output/room_full/step3/modern_office/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/modern_office.log	0
16	16	24	pub_interior	/Users/sota/code/3d/room/pub_interior.glb	/Users/sota/code/3d_new/output/room_full/step2/pub_interior/step2_floor_report.json	OK	DONE	25.800	True	149	18.108628032079075	22	2.6949999999999994	1.0	0.33557046979865773	0	6		/Users/sota/code/3d_new/output/room_full/step3/pub_interior/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/pub_interior.log	0
17	17	24	red_room	/Users/sota/code/3d/room/red_room.glb	/Users/sota/code/3d_new/output/room_full/step2/red_room/step2_floor_report.json	OK	DONE	3.230	True	49	12.114642049611813	20	2.4499999999999997	1.0	0.0	0	0		/Users/sota/code/3d_new/output/room_full/step3/red_room/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/red_room.log	0
18	18	24	school_class_room_light_ver	/Users/sota/code/3d/room/school_class_room_light_ver.glb	/Users/sota/code/3d_new/output/room_full/step2/school_class_room_light_ver/step2_floor_report.json	OK	DONE	5.857	True	125	30.152380408668456	19	2.3274999999999997	1.0	0.08	0	4		/Users/sota/code/3d_new/output/room_full/step3/school_class_room_light_ver/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/school_class_room_light_ver.log	0
19	19	24	sci_fi_biolab_corridor	/Users/sota/code/3d/room/sci_fi_biolab_corridor.glb	/Users/sota/code/3d_new/output/room_full/step2/sci_fi_biolab_corridor/step2_floor_report.json	OK	DONE	18.525	True	194	35.01929560140823	41	5.0225	0.9948453608247423	0.010309278350515464	0	2		/Users/sota/code/3d_new/output/room_full/step3/sci_fi_biolab_corridor/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/sci_fi_biolab_corridor.log	0
20	20	24	sitting_room_with_baked_textures	/Users/sota/code/3d/room/sitting_room_with_baked_textures.glb	/Users/sota/code/3d_new/output/room_full/step2/sitting_room_with_baked_textures/step2_floor_report.json	OK	DONE	6.165	True	40	12.150818013577727	20	2.4499999999999997	1.0	0.025	0	1		/Users/sota/code/3d_new/output/room_full/step3/sitting_room_with_baked_textures/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/sitting_room_with_baked_textures.log	0
21	21	24	stylized_locker_room	/Users/sota/code/3d/room/stylized_locker_room.glb	/Users/sota/code/3d_new/output/room_full/step2/stylized_locker_room/step2_floor_report.json	OK	DONE	7.861	True	218	47.270000291439786	105	12.862499999999999	1.0	0.0	0	3		/Users/sota/code/3d_new/output/room_full/step3/stylized_locker_room/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/stylized_locker_room.log	0
22	22	24	subway	/Users/sota/code/3d/room/subway.glb	/Users/sota/code/3d_new/output/room_full/step2/subway/step2_floor_report.json	FAIL	TIMEOUT	14.794	False	89	26.73676008739315	36	4.409999999999999	1.0	0.033707865168539325	0	1	outside_scene_or_invalid_depth	/Users/sota/code/3d_new/output/room_full/step3/subway/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/subway.log	0
23	23	24	vr_gallery_-_like_model_if_you_download_it	/Users/sota/code/3d/room/vr_gallery_-_like_model_if_you_download_it.glb	/Users/sota/code/3d_new/output/room_full/step2/vr_gallery_-_like_model_if_you_download_it/step2_floor_report.json	SKIP	SKIP	0.579	False	0	0.0	0	0.0	0.0	0.0	0	0	step2_not_ok		/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/vr_gallery_-_like_model_if_you_download_it.log	0
24	24	24	vr_gallery_house_baked	/Users/sota/code/3d/room/vr_gallery_house_baked.glb	/Users/sota/code/3d_new/output/room_full/step2/vr_gallery_house_baked/step2_floor_report.json	FAIL	TIMEOUT	26.183	False	177	30.160518341110354	81	9.9225	1.0	0.011299435028248588	0	2	outside_scene_or_invalid_depth	/Users/sota/code/3d_new/output/room_full/step3/vr_gallery_house_baked/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/vr_gallery_house_baked.log	0
25	1	1	conference_room1	/Users/sota/code/3d/room/conference_room1.glb	/Users/sota/code/3d_new/output/room_full/step2/conference_room1/step2_floor_report.json	FAIL	TIMEOUT	16.103	False	220	26.66570365061839	74	9.065	0.9954545454545455	0.6090909090909091	0	11	target_frames_reached	/Users/sota/code/3d_new/output/room_full/step3/conference_room1/traj_meta.json	/Users/sota/code/3d_new/output/room_full/step3/_batch_logs/conference_room1.log	0
